operationdistrict,capitaldistrict,euidistrict,operationdoasvrf,capitaldoasvrf,euidoasvrf,operationvav,capitalvav,euivav
913773.4184,2629959.14,163.5595088,953291.5545,2386551.807,101.5943202,799173.9059,3139668.431,250.1882029
1024806.314,1993673.838,183.7824866,1036052.76,2694970.949,78.27603148,921556.6944,2100577.582,277.6151532
913827.054,2170536.967,163.7183953,956608.9511,2663225.78,96.42585109,865265.512,2223138.818,260.9438773
1018571.827,1762372.887,177.3861814,915607.3754,3008822.637,83.5526384,908459.4226,2486872.197,278.4929172
817854.7958,2708285.507,162.8420796,955534.2323,2586340.43,76.94756818,707345.7019,3091966.662,241.1107223
810590.4303,3117189.295,154.862351,911663.117,2588117.961,84.27006981,918151.1162,2195263.676,273.8965642
831762.5167,2941754.632,156.9924979,959255.7397,2671997.267,89.56853097,865128.085,2548349.282,259.4092371
1182135.083,1733891.076,206.0992186,1013629.173,2419999.465,95.3516481,1105713.728,2015927.691,318.5528986
1015112.613,2249207.976,172.7874035,908873.6797,3068551.603,70.67436624,795794.3116,3100378.439,260.8845843
1009544.189,2395256.671,163.924341,1145876.846,2083612.761,131.2630813,888724.6155,2367169.521,269.2524413
1058304.11,2001583.106,198.3034575,1240223.847,2051153.384,134.381112,851398.3379,2627810.078,257.0114545
888697.6625,2469958.465,147.4326765,1037555.525,2301935.156,70.27212897,660689.6937,3453430.807,240.4908791
1096612.978,2097831.933,190.854987,1027124.728,2847971.134,101.2809352,896382.8723,2506911.517,279.3465731
861566.8902,2666528.318,145.5612594,930987.6023,2986263.479,102.3604127,676972.7623,3156535.341,256.0400768
878324.3426,2388850.236,167.8312807,1060463.502,2597607.097,103.0192951,808957.0689,2725765.84,253.7510508
929478.1787,2482562.56,182.553697,945677.9988,2673829.187,83.2316497,947839.2153,2126135.316,275.6093361
878831.0382,2568820.645,162.7140972,985095.6253,2599123.828,87.63707491,861980.1001,2518575.191,268.362978
957954.4622,2343473.607,181.5328424,1075624.307,2492352.484,120.9406223,946635.408,2787584.459,275.1631652
1082634.572,1701037.878,190.6727429,939549.2438,3044778.508,78.00976026,877552.3662,2299923.196,266.7988054
1050014.447,1777600.731,178.3078178,1133452.565,2270533.353,126.7137936,736155.6367,2865601.267,235.4528937
1015782.72,2079094.112,186.2540784,845492.2638,3082491.771,75.6790161,819456.3277,3106613.975,266.244376
831678.7252,2904654.426,157.9858035,1182395.59,2343789.344,127.4908557,754182.6521,2972995.739,247.858581
915064.3052,2501137.217,165.3839922,1027442.712,2360824.395,101.8277262,762438.4878,2822244.959,255.3239694
