operationall,capitalall,euiall,operationpareto,capitalpareto,euipareto
998726.8715,2387420.83,107.471248,,,
871259.5609,2512820.918,273.4822818,,,
998726.8715,2070370.405,186.6932684,,,
963934.8399,2440920.792,77.53105084,,,
871236.9479,2271325.555,278.9617523,,,
634228.3204,3562545.506,242.5719532,,,
895376.09,2647526.029,152.9058195,,,
879299.1043,2300879.113,288.6724436,,,
909037.6353,2785631.096,158.5600964,,,
805140.9654,2601366.076,246.0893132,,,
980281.4363,2323424.689,177.0343705,,,
854791.0993,2646362.446,269.9971762,,,
865660.172,2343954.526,274.580025,,,
684341.6352,2860336.089,250.7882007,,,
727539.972,2961917.292,250.9269107,,,
895376.09,2897631.763,81.06682576,,,
906517.1723,2377829.587,87.43792446,,,
818532.9001,2609742.982,180.1135776,,,
897353.0635,3052854.508,68.94532625,,,
815524.2442,2420743.027,255.3163602,,,
802087.0515,3196718.009,76.97453069,,,
874245.6037,2858365.133,154.4525079,,,
906517.1723,2577642.555,65.93540595,,,
812445.3183,2788069.668,275.9387724,,,
761207.4382,2824990.204,256.851223,,,
991422.5186,1715092.939,189.491875,,,
919304.5524,2828198.666,274.9490818,,,
735579.5153,2665807.539,272.9170252,,,
1012343.191,2299942.732,78.84129553,,,
1036024.656,2675658.912,108.8857603,,,
916319.3751,2690366.537,175.025518,,,
676302.0918,3079819.081,247.8842286,,,
820509.8736,3221319.947,68.97373817,,,
1001224.721,2774939.783,84.37787209,,,
809368.7913,3561206.555,59.20234749,,,
912696.9598,2191387.331,172.8970158,,,
948613.5567,2306518.61,189.4921758,,,
985880.8252,2325107.193,179.8113643,,,
871236.9479,2445737.215,258.873709,,,
764286.364,2479221.538,257.4043687,,,
783252.6757,2951479.192,263.8154293,,,
1017579.22,2724882.663,131.9313579,,,
910719.9862,2298003.465,173.320923,,,
1016477.268,2879537.485,190.6395482,,,
998704.2584,1685565.848,183.655396,,,
823563.7875,2025986.373,273.3283282,,,
956142.2942,2018324.033,277.2732834,,,
711071.5104,3221781.933,241.9484729,,,
914068.5228,2106282.202,280.140454,,,
910719.9862,2760825.703,88.75048115,,,
711071.5104,3311703.53,246.8283623,,,
995897.3421,1900857.711,184.3116952,,,
997021.9075,1994333.051,193.4556356,,,
916319.3751,2749811.982,150.1920986,,,
836467.5294,2726069.664,258.3448423,,,
927460.4574,2700535.701,88.42733417,,,
628245.27,3191990.37,147.93,,,
902198.02,2031624.336,283.71,,,
796753.66,3518353.995,67.06,,,
693255.69,3036895.46,229.14,,,
1087699.85,1591336.63,214.24,,,
1051300.29,1634190.79,194.13,,,
952327.13,2770765.691,82.81,,,
757699.72,3534459.976,63.06,,,
688784.3,2778502.137,243.51,,,
1051082.55,2272631.542,95.51,,,
815369,3298182.601,69.26,,,
926086.4,1809785.78,173.82,,,
929430.76,2559237.47,172.18,,,
994332.32,2406860.607,87.36,,,
947327.77,1914669.95,160.73,,,
795697.46,2659507.768,265.35,,,
984288.07,2042963.107,296.75,,,
801936.03,2482063.704,263.22,,,
1062432.66,1951828.71,192.33,,,
936798.86,2833821.563,82.08,,,
654350.94,3080920.483,248.79,,,
969693.11,1699847.74,189.37,,,
752430.79,2664913.51,148.09,,,
927819.04,2169113.79,169.05,,,
874256.81,2377918.724,285.42,,,
645158.73,3095282.63,243.71,,,
879971.26,3202762.022,76.55,,,
801972.66,2665955.536,275.26,,,
984386.24,2221477.598,86.3,,,
1029365.71,1943823.77,152.31,,,
1102796.88,2510914.805,97.9,,,
1104321.05,3300299.567,98.2,,,
967347.02,1713748.49,187.8,,,
1152217.56,1862681.6,212.32,,,
895965.34,2955862.128,77.45,,,
991272.76,2907557.85,167.65,,,
931567.61,2334274.652,289.17,,,
782148.48,2884791.519,238.79,,,
1052118.15,2315670.501,337.86,,,
762641.62,2583618.969,244.17,,,
1100597.26,2263901.264,99.32,,,
928265.27,2243326.03,176.54,,,
870785.87,2553157.642,282.36,,,
945441.95,2653616.165,83.18,,,
799527.01,2726105.826,262.43,,,
1105512.1,2285600.91,181.28,,,
1114984.01,2586411.84,159.33,,,
895168.88,3016388.785,78.64,,,
1125756.43,1957136.04,187.14,,,
937993.79,1994643.21,183.09,,,
1150449.29,1949715.52,211.19,,,
845573.05,2507884.905,278.94,,,
1032475.82,2288611.17,190.11,,,
662012.53,2786413.58,147.86,,,
798851.15,2576113.399,242.32,,,
1107617.92,1890871.77,218.47,,,
919022.47,2505877.085,289.19,,,
981005.66,2534808.796,333.89,,,
1032233.52,2335963.854,91.22,,,
1100890.72,2269791.83,154.73,,,
927796.34,2114825.224,274.25,,,
823442.85,2533203.933,261.96,,,
