operationnoshade,capitalnoshade,euinoshade,operationshade,capitalshade,euishade
715116.763,2839122.334,248.801942,985142.4993,2030377.217,193.9157747
829148.0213,2815005.454,261.648023,918151.1162,2195263.676,273.8965642
845492.2638,3082491.771,75.6790161,957284.3556,2495191.131,169.3209913
1182395.59,2343789.344,127.4908557,795794.3116,3100378.439,260.8845843
867183.2606,2268185.922,268.8671552,821086.5722,3331922.882,71.96517344
980111.6095,2212009.958,278.4361654,913773.4184,2629959.14,163.5595088
911776.8193,2716893.366,276.7482923,808836.0927,3160247.694,77.32077998
1007667.36,2090429.503,167.9962438,847742.9608,3065686.118,65.24256493
938439.6171,2980566.173,89.57918507,851398.3379,2627810.078,257.0114545
980797.0947,2720775.241,91.29634727,817854.7958,2708285.507,162.8420796
1049295.797,2064047.842,189.7302434,949922.8939,2914488.444,77.04443156
839506.406,2967277.43,244.7962878,889359.1648,3032623.341,83.18836657
1016509.377,2916528.518,97.31947241,676972.7623,3156535.341,256.0400768
847944.2171,2702019.466,275.0793465,831762.5167,2941754.632,156.9924979
1058314.5,2502037.844,102.9292059,1015112.613,2249207.976,172.7874035
